Domain-04	POLITICS
ThesaurusConcept-30	satellite communications
ThesaurusConcept-31	press release
ThesaurusConcept-32	Communism
ThesaurusConcept-33	Comoros
ThesaurusConcept-34	insurance company
ThesaurusConcept-35	administrative powers
ThesaurusConcept-36	EU competence
ThesaurusConcept-37	jurisdiction ratione materiae
ThesaurusConcept-38	central government
ThesaurusConcept-39	executive competence
ThesaurusConcept-40	competence of the Member States
ThesaurusConcept-41	powers of parliament
ThesaurusConcept-42	jurisdiction
ThesaurusConcept-43	joint competence
ThesaurusConcept-44	territorial jurisdiction
ThesaurusConcept-45	competitiveness
ThesaurusConcept-46	complementarity of trade
ThesaurusConcept-47	consumer behaviour
ThesaurusConcept-48	educational administration
ThesaurusConcept-49	political behaviour
ThesaurusConcept-50	electronic component
ThesaurusConcept-51	mineral compound
ThesaurusConcept-52	composition of the population
ThesaurusConcept-53	composition of parliament
ThesaurusConcept-54	accounting
ThesaurusConcept-55	financial accounting
ThesaurusConcept-56	national accounts
ThesaurusConcept-57	tax authorities
ThesaurusConcept-58	public accounting
ThesaurusConcept-59	regional accounting
ThesaurusConcept-60	accountant
ThesaurusConcept-61	account
ThesaurusConcept-62	consolidated account
ThesaurusConcept-63	trading account
ThesaurusConcept-64	tied sales outlet
ThesaurusConcept-65	county
ThesaurusConcept-66	concentration of the population
ThesaurusConcept-67	concentration of powers
ThesaurusConcept-68	local government
ThesaurusConcept-69	economic concentration
ThesaurusConcept-70	industrial concentration
ThesaurusConcept-71	product design
ThesaurusConcept-72	concessionaire
ThesaurusConcept-73	medium-term financial assistance
ThesaurusConcept-74	cohabitation
ThesaurusConcept-75	competition
ThesaurusConcept-76	international competition
ThesaurusConcept-77	public administration
ThesaurusConcept-78	summarising
ThesaurusConcept-79	condiment
ThesaurusConcept-80	terms for aid
ThesaurusConcept-81	position of women
ThesaurusConcept-82	working conditions
ThesaurusConcept-83	living conditions
ThesaurusConcept-84	economic conditions
ThesaurusConcept-85	social situation
ThesaurusConcept-86	socioeconomic conditions
ThesaurusConcept-87	preparation for market
ThesaurusConcept-88	admission to examinations
ThesaurusConcept-89	atmospheric conditions
ThesaurusConcept-90	WCL
ThesaurusConcept-91	UN Conference
ThesaurusConcept-92	confidentiality
ThesaurusConcept-93	confectionery
ThesaurusConcept-94	conflict of jurisdiction
ThesaurusConcept-95	conflict of powers
ThesaurusConcept-96	misuse of a right
ThesaurusConcept-97	temporary admission
ThesaurusConcept-98	labour dispute
ThesaurusConcept-99	international conflict
ThesaurusConcept-100	racial conflict
ThesaurusConcept-101	social conflict
ThesaurusConcept-102	sick leave
ThesaurusConcept-103	maternity leave
ThesaurusConcept-104	training leave
ThesaurusConcept-105	parental leave
ThesaurusConcept-106	paid leave
ThesaurusConcept-107	unpaid leave
ThesaurusConcept-108	leave on social grounds
ThesaurusConcept-109	freezing
ThesaurusConcept-110	conglomerate
ThesaurusConcept-111	Congo
ThesaurusConcept-112	short-term economic prospects
ThesaurusConcept-113	Connacht
ThesaurusConcept-114	Council of the European Union
ThesaurusConcept-115	board of directors
ThesaurusConcept-116	Association Council (EU)
ThesaurusConcept-117	adoption of a child
ThesaurusConcept-118	Council for Cultural Cooperation
ThesaurusConcept-119	CCD
ThesaurusConcept-120	Asian and Pacific Council
ThesaurusConcept-121	Council of Europe
ThesaurusConcept-122	Council of Europe countries
ThesaurusConcept-123	UN Security Council
ThesaurusConcept-124	UN Trusteeship Council
ThesaurusConcept-125	Council of European Municipalities and Regions
ThesaurusConcept-126	Council of Ministers
ThesaurusConcept-127	adoption of a law by vote
ThesaurusConcept-128	European Council
ThesaurusConcept-129	Nordic Council
ThesaurusConcept-130	Nordic Council countries
ThesaurusConcept-131	agricultural adviser
ThesaurusConcept-132	food preserving
ThesaurusConcept-133	conservation of fish stocks
ThesaurusConcept-134	conservation of resources
ThesaurusConcept-135	conservatism
ThesaurusConcept-136	cannery
ThesaurusConcept-137	rescheduling of public debt
ThesaurusConcept-138	consumer
ThesaurusConcept-139	consumption
ThesaurusConcept-140	food consumption
ThesaurusConcept-141	water consumption
ThesaurusConcept-142	energy consumption
ThesaurusConcept-143	household consumption
ThesaurusConcept-144	adoption of the budget
ThesaurusConcept-145	final consumption
ThesaurusConcept-146	domestic consumption
ThesaurusConcept-147	per capita consumption
ThesaurusConcept-148	constitution
ThesaurusConcept-149	formation of a party
ThesaurusConcept-150	incorporation
ThesaurusConcept-151	control of constitutionality
ThesaurusConcept-152	agricultural building
ThesaurusConcept-153	road building
ThesaurusConcept-154	metal structure
ThesaurusConcept-155	shipbuilding
ThesaurusConcept-156	consultation of information
ThesaurusConcept-157	worker consultation
ThesaurusConcept-158	container
ThesaurusConcept-159	objections to an election result
ThesaurusConcept-160	adult
ThesaurusConcept-161	tariff quota
ThesaurusConcept-162	contraception
ThesaurusConcept-163	shorter working week
ThesaurusConcept-164	contract
ThesaurusConcept-165	insurance contract
ThesaurusConcept-166	work contract
ThesaurusConcept-167	industrial counterfeiting
ThesaurusConcept-168	EADI
ThesaurusConcept-169	plywood
ThesaurusConcept-170	taxpayer
ThesaurusConcept-171	administrative control
ThesaurusConcept-172	air traffic control
ThesaurusConcept-173	budgetary control
ThesaurusConcept-174	management audit
ThesaurusConcept-175	control of communications
ThesaurusConcept-176	EFTA
ThesaurusConcept-177	pollution control
ThesaurusConcept-178	liquidity control
ThesaurusConcept-179	production control
ThesaurusConcept-180	quality control of industrial products
ThesaurusConcept-181	food control
ThesaurusConcept-182	exchange control
ThesaurusConcept-183	merger control
ThesaurusConcept-184	assessment
ThesaurusConcept-185	migration control
ThesaurusConcept-186	abuse of power
ThesaurusConcept-187	EFTA countries
ThesaurusConcept-188	price control
ThesaurusConcept-189	financial control
ThesaurusConcept-190	parliamentary scrutiny
ThesaurusConcept-191	plant health control
ThesaurusConcept-192	health control
ThesaurusConcept-193	CIV Convention
ThesaurusConcept-194	collective agreement
ThesaurusConcept-195	airport
ThesaurusConcept-196	Arusha Convention
ThesaurusConcept-197	Lomé Convention
ThesaurusConcept-198	first Lomé Convention
ThesaurusConcept-199	second Lomé Convention
