Domain-04	POLITICS
ThesaurusConcept-1576	sterilised milk
ThesaurusConcept-1577	soil conditioning
ThesaurusConcept-1578	launching of a product
ThesaurusConcept-1579	Federation State
ThesaurusConcept-1580	language
ThesaurusConcept-1581	foreign language
ThesaurusConcept-1582	mother tongue
ThesaurusConcept-1583	Languedoc-Roussillon
ThesaurusConcept-1584	Laos
ThesaurusConcept-1585	rabbit
ThesaurusConcept-1586	Latium
ThesaurusConcept-1587	America
ThesaurusConcept-1588	legality
ThesaurusConcept-1589	legislation
ThesaurusConcept-1590	foodstuffs legislation
ThesaurusConcept-1591	anti-dumping legislation
ThesaurusConcept-1592	anti-trust legislation
ThesaurusConcept-1593	delegated legislation
ThesaurusConcept-1594	pharmaceutical legislation
ThesaurusConcept-1595	plant health legislation
ThesaurusConcept-1596	health legislation
ThesaurusConcept-1597	school legislation
ThesaurusConcept-1598	veterinary legislation
ThesaurusConcept-1599	legislative period
ThesaurusConcept-1600	self-defence
ThesaurusConcept-1601	legitimacy
ThesaurusConcept-1602	vegetable
ThesaurusConcept-1603	bulb vegetable
ThesaurusConcept-1604	leaf vegetable
ThesaurusConcept-1605	fruit vegetable
ThesaurusConcept-1606	Central America
ThesaurusConcept-1607	root vegetable
ThesaurusConcept-1608	fresh vegetable
ThesaurusConcept-1609	leguminous vegetable
ThesaurusConcept-1610	Leinster
ThesaurusConcept-1611	Lesotho
ThesaurusConcept-1612	animal leucosis
ThesaurusConcept-1613	Lebanon
ThesaurusConcept-1614	Liberalism
ThesaurusConcept-1615	North America
ThesaurusConcept-1616	liberalisation of trade
ThesaurusConcept-1617	Liberia
ThesaurusConcept-1618	freedom of association
ThesaurusConcept-1619	freedom of expression
ThesaurusConcept-1620	freedom of opinion
ThesaurusConcept-1621	freedom of communication
ThesaurusConcept-1622	freedom of the press
ThesaurusConcept-1623	freedom of navigation
ThesaurusConcept-1624	South America
ThesaurusConcept-1625	freedom of assembly
ThesaurusConcept-1626	freedom of trade
ThesaurusConcept-1627	freedom to work
ThesaurusConcept-1628	freedom of religious beliefs
ThesaurusConcept-1629	bookshop
ThesaurusConcept-1630	free movement of capital
ThesaurusConcept-1631	free movement of goods
ThesaurusConcept-1632	Latin America
ThesaurusConcept-1633	free movement of persons
ThesaurusConcept-1634	free movement of workers
ThesaurusConcept-1635	free competition
ThesaurusConcept-1636	freedom of self-determination
ThesaurusConcept-1637	free circulation
ThesaurusConcept-1638	freedom to provide services
ThesaurusConcept-1639	Libya
ThesaurusConcept-1640	patents licence
ThesaurusConcept-1641	trade licence
ThesaurusConcept-1642	export licence
ThesaurusConcept-1643	asbestos
ThesaurusConcept-1644	import licence
ThesaurusConcept-1645	transport licence
ThesaurusConcept-1646	dismissal
ThesaurusConcept-1647	collective dismissal
ThesaurusConcept-1648	redundancy
ThesaurusConcept-1649	Liechtenstein
ThesaurusConcept-1650	cork
ThesaurusConcept-1651	Province of Liège
ThesaurusConcept-1652	fishing grounds
ThesaurusConcept-1653	workplace
ThesaurusConcept-1654	starch
ThesaurusConcept-1655	transport lines
ThesaurusConcept-1656	lignite
ThesaurusConcept-1657	Arab League
ThesaurusConcept-1658	Arab League countries
ThesaurusConcept-1659	Liguria
ThesaurusConcept-1660	Limburg
ThesaurusConcept-1661	Province of Limbourg
ThesaurusConcept-1662	marketing restriction
ThesaurusConcept-1663	association agreement
ThesaurusConcept-1664	Amnesty International
ThesaurusConcept-1665	aerated drink
ThesaurusConcept-1666	Limousin
ThesaurusConcept-1667	flax
ThesaurusConcept-1668	seed flax
ThesaurusConcept-1669	ingot
ThesaurusConcept-1670	linguistics
ThesaurusConcept-1671	liqueur
ThesaurusConcept-1672	liquidation
ThesaurusConcept-1673	amortisation
ThesaurusConcept-1674	receivership
ThesaurusConcept-1675	validation of expenditure
ThesaurusConcept-1676	money-market liquidity
ThesaurusConcept-1677	international liquidity
ThesaurusConcept-1678	fixed party list
ThesaurusConcept-1679	electoral register
ThesaurusConcept-1680	literature
ThesaurusConcept-1681	grey literature
ThesaurusConcept-1682	redemption of public debt
ThesaurusConcept-1683	littoral
ThesaurusConcept-1684	delivery
ThesaurusConcept-1685	energy site
ThesaurusConcept-1686	location of production
ThesaurusConcept-1687	property leasing
ThesaurusConcept-1688	hire purchase
ThesaurusConcept-1689	lockout
ThesaurusConcept-1690	housing
ThesaurusConcept-1691	illiteracy
ThesaurusConcept-1692	multi-storey dwelling
ThesaurusConcept-1693	single-family housing
ThesaurusConcept-1694	substandard housing
ThesaurusConcept-1695	subsidised housing
ThesaurusConcept-1696	software
ThesaurusConcept-1697	legal rule
ThesaurusConcept-1698	finance act
ThesaurusConcept-1699	outline law
ThesaurusConcept-1700	leisure
ThesaurusConcept-1701	Lombardy
ThesaurusConcept-1702	Lorraine
ThesaurusConcept-1703	low rent
ThesaurusConcept-1704	lubricants
ThesaurusConcept-1705	toy library
ThesaurusConcept-1706	fire protection
ThesaurusConcept-1707	pollution control measures
ThesaurusConcept-1708	fight against crime
ThesaurusConcept-1709	fight against wastage
ThesaurusConcept-1710	class struggle
ThesaurusConcept-1711	cost-benefit analysis
ThesaurusConcept-1712	Luxembourg
ThesaurusConcept-1713	Province of Luxembourg
ThesaurusConcept-1714	lucerne
ThesaurusConcept-1715	freeze-drying
ThesaurusConcept-1716	Macao
ThesaurusConcept-1717	Macedonia
ThesaurusConcept-1718	machinery
ThesaurusConcept-1719	agricultural machinery
ThesaurusConcept-1720	office equipment
ThesaurusConcept-1721	cost-effectiveness analysis
ThesaurusConcept-1722	harvester
ThesaurusConcept-1723	hydraulic machinery
ThesaurusConcept-1724	machine tool
ThesaurusConcept-1725	pneumatic machinery
ThesaurusConcept-1726	textile machine
ThesaurusConcept-1727	Mashreq
ThesaurusConcept-1728	macroeconomics
ThesaurusConcept-1729	Madagascar
ThesaurusConcept-1730	Madeira
ThesaurusConcept-1731	input-output analysis
ThesaurusConcept-1732	supermarket
ThesaurusConcept-1733	discount store
ThesaurusConcept-1734	Maghreb
ThesaurusConcept-1735	magistrate
ThesaurusConcept-1736	magnesium
ThesaurusConcept-1737	labour force
ThesaurusConcept-1738	agricultural labour force
ThesaurusConcept-1739	family worker
ThesaurusConcept-1740	female worker
ThesaurusConcept-1741	water analysis
ThesaurusConcept-1742	job preservation
ThesaurusConcept-1743	peacekeeping
ThesaurusConcept-1744	maize
ThesaurusConcept-1745	publisher
ThesaurusConcept-1746	absolute majority
ThesaurusConcept-1747	age of majority
ThesaurusConcept-1748	majority voting
ThesaurusConcept-1749	political majority
ThesaurusConcept-1750	qualified majority
ThesaurusConcept-1751	silent majority
ThesaurusConcept-1752	information analysis
ThesaurusConcept-1753	simple majority
ThesaurusConcept-1754	illness
ThesaurusConcept-1755	animal disease
ThesaurusConcept-1756	respiratory disease
ThesaurusConcept-1757	cardiovascular disease
ThesaurusConcept-1758	endemic disease
ThesaurusConcept-1759	infectious disease
ThesaurusConcept-1760	mental illness
ThesaurusConcept-1761	occupational disease
ThesaurusConcept-1762	tropical disease
ThesaurusConcept-1763	plant disease
ThesaurusConcept-1764	disaffection of young people
ThesaurusConcept-1765	Eastern Malaysia
ThesaurusConcept-1766	Malawi
ThesaurusConcept-1767	Malaysia
ThesaurusConcept-1768	Maldives
ThesaurusConcept-1769	Mali
ThesaurusConcept-1770	malnutrition
ThesaurusConcept-1771	Falkland Islands
ThesaurusConcept-1772	malt
ThesaurusConcept-1773	demographic analysis
ThesaurusConcept-1774	Malta
ThesaurusConcept-1775	marine mammal
ThesaurusConcept-1776	English Channel
ThesaurusConcept-1777	power of attorney
ThesaurusConcept-1778	elective office
ThesaurusConcept-1779	manganese
ThesaurusConcept-1780	cultural event
ThesaurusConcept-1781	cassava
ThesaurusConcept-1782	balance-sheet analysis
ThesaurusConcept-1783	unskilled worker
ThesaurusConcept-1784	school textbook
ThesaurusConcept-1785	Maoism
ThesaurusConcept-1786	market
ThesaurusConcept-1787	futures market
ThesaurusConcept-1788	agricultural market
ThesaurusConcept-1789	EU agricultural market
ThesaurusConcept-1790	spot market
ThesaurusConcept-1791	cost analysis
ThesaurusConcept-1792	common market
ThesaurusConcept-1793	Arab Common Market
ThesaurusConcept-1794	Arab Common Market countries
ThesaurusConcept-1795	EU market
ThesaurusConcept-1796	supplies contract
ThesaurusConcept-1797	negotiated contract
ThesaurusConcept-1798	works contract
ThesaurusConcept-1799	foreign exchange market
ThesaurusConcept-1800	economic analysis
ThesaurusConcept-1801	commodities market
ThesaurusConcept-1802	labour market
ThesaurusConcept-1803	foreign market
ThesaurusConcept-1804	financial market
ThesaurusConcept-1805	real estate market
ThesaurusConcept-1806	domestic market
ThesaurusConcept-1807	international market
ThesaurusConcept-1808	open market
ThesaurusConcept-1809	money market
ThesaurusConcept-1810	public contract
ThesaurusConcept-1811	financial analysis
ThesaurusConcept-1812	official market
ThesaurusConcept-1813	Marches
ThesaurusConcept-1814	margarine
ThesaurusConcept-1815	trading margin
ThesaurusConcept-1816	fluctuation margin
ThesaurusConcept-1817	marginalisation
ThesaurusConcept-1818	marriage
ThesaurusConcept-1819	Morocco
ThesaurusConcept-1820	social analysis
ThesaurusConcept-1821	trademark
ThesaurusConcept-1822	Martinique
ThesaurusConcept-1823	Marxism
ThesaurusConcept-1824	budget volume
ThesaurusConcept-1825	money supply
ThesaurusConcept-1826	building materials
ThesaurusConcept-1827	heat-resisting materials
ThesaurusConcept-1828	lighting equipment
ThesaurusConcept-1829	anarchism
ThesaurusConcept-1830	construction equipment
ThesaurusConcept-1831	drilling equipment
ThesaurusConcept-1832	hoisting equipment
ThesaurusConcept-1833	electrical equipment
ThesaurusConcept-1834	mechanical equipment
ThesaurusConcept-1835	mathematics
ThesaurusConcept-1836	milk fat
ThesaurusConcept-1837	plastics
ThesaurusConcept-1838	ASEAN
ThesaurusConcept-1839	raw material
ThesaurusConcept-1840	radioactive materials
ThesaurusConcept-1841	Mauritius
ThesaurusConcept-1842	Mauritania
ThesaurusConcept-1843	Mayotte
ThesaurusConcept-1844	CACM countries
ThesaurusConcept-1845	precision engineering
ThesaurusConcept-1846	general mechanical engineering
ThesaurusConcept-1847	ASEAN countries
ThesaurusConcept-1848	mechanisation
ThesaurusConcept-1849	mechanisation of agriculture
ThesaurusConcept-1850	exchange-rate mechanism
ThesaurusConcept-1851	support mechanism
ThesaurusConcept-1852	medicine
ThesaurusConcept-1853	occupational medicine
ThesaurusConcept-1854	disease prevention
ThesaurusConcept-1855	school medicine
ThesaurusConcept-1856	veterinary medicine
ThesaurusConcept-1857	slaughter of animals
ThesaurusConcept-1858	Bretton Woods Agreement
ThesaurusConcept-1859	anatomy
ThesaurusConcept-1860	mediator
ThesaurusConcept-1861	megalopolis
ThesaurusConcept-1862	Melanesia
ThesaurusConcept-1863	molasses
ThesaurusConcept-1864	household
ThesaurusConcept-1865	farm household
ThesaurusConcept-1866	monthly pay
ThesaurusConcept-1867	joinery
ThesaurusConcept-1868	metalwork
ThesaurusConcept-1869	ex-serviceman
ThesaurusConcept-1870	sea
ThesaurusConcept-1871	Baltic Sea
ThesaurusConcept-1872	Irish Sea
ThesaurusConcept-1873	Andalusia
ThesaurusConcept-1874	Andorra
ThesaurusConcept-1875	Norwegian Sea
ThesaurusConcept-1876	Angola
ThesaurusConcept-1877	North Sea
ThesaurusConcept-1878	anhydride
ThesaurusConcept-1879	Mediterranean Sea
ThesaurusConcept-1880	mercury
ThesaurusConcept-1881	measure having equivalent effect
ThesaurusConcept-1882	metals
ThesaurusConcept-1883	ferrous metal
ThesaurusConcept-1884	heavy metal
ThesaurusConcept-1885	non-ferrous metal
ThesaurusConcept-1886	precious metal
ThesaurusConcept-1887	metalloid
ThesaurusConcept-1888	slaughter animal
ThesaurusConcept-1889	powder metallurgy
ThesaurusConcept-1890	share farming
ThesaurusConcept-1891	meslin
ThesaurusConcept-1892	meteorology
ThesaurusConcept-1893	methanol
ThesaurusConcept-1894	research method
ThesaurusConcept-1895	statistical method
ThesaurusConcept-1896	metrology
ThesaurusConcept-1897	metropolis
ThesaurusConcept-1898	farm animal
ThesaurusConcept-1899	Mexico
ThesaurusConcept-1900	Mezzogiorno
ThesaurusConcept-1901	microeconomics
ThesaurusConcept-1902	microform
ThesaurusConcept-1903	Micronesia
ThesaurusConcept-1904	Midi-Pyrenées
ThesaurusConcept-1905	East Midlands
ThesaurusConcept-1906	West Midlands
ThesaurusConcept-1907	honey
ThesaurusConcept-1908	draught animal
ThesaurusConcept-1909	migration
ThesaurusConcept-1910	commuting
ThesaurusConcept-1911	return migration
ThesaurusConcept-1912	family migration
ThesaurusConcept-1913	forced migration
ThesaurusConcept-1914	frontier migration
ThesaurusConcept-1915	illegal migration
ThesaurusConcept-1916	internal migration
ThesaurusConcept-1917	interurban migration
ThesaurusConcept-1918	clearing agreement
ThesaurusConcept-1919	domestic animal
ThesaurusConcept-1920	intraurban commuting
ThesaurusConcept-1921	Community migration
ThesaurusConcept-1922	occupational migration
ThesaurusConcept-1923	rural migration
ThesaurusConcept-1924	migration from the countryside to the town
ThesaurusConcept-1925	seasonal migration
ThesaurusConcept-1926	working environment
ThesaurusConcept-1927	school environment
ThesaurusConcept-1928	political militant
ThesaurusConcept-1929	breeding animal
ThesaurusConcept-1930	militarisation of space
ThesaurusConcept-1931	militarism
ThesaurusConcept-1932	millet
ThesaurusConcept-1933	iron ore
ThesaurusConcept-1934	non-ferrous ore
ThesaurusConcept-1935	non-metallic ore
ThesaurusConcept-1936	mineralogy
ThesaurusConcept-1937	live animal
ThesaurusConcept-1938	public prosecutor's department
ThesaurusConcept-1939	minister
ThesaurusConcept-1940	infancy
ThesaurusConcept-1941	national minority
ThesaurusConcept-1942	sexual minority
ThesaurusConcept-1943	flour milling
ThesaurusConcept-1944	missile
ThesaurusConcept-1945	metal furniture
ThesaurusConcept-1946	labour mobility
ThesaurusConcept-1947	land mobility
ThesaurusConcept-1948	geographical mobility
ThesaurusConcept-1949	residential mobility
ThesaurusConcept-1950	student mobility
ThesaurusConcept-1951	social mobility
ThesaurusConcept-1952	financing method
ThesaurusConcept-1953	voting method
ThesaurusConcept-1954	mode of transport
ThesaurusConcept-1955	economic model
ThesaurusConcept-1956	company modernisation
ThesaurusConcept-1957	modernisation of industry
ThesaurusConcept-1958	farm modernisation
ThesaurusConcept-1959	budgetary amendment
ThesaurusConcept-1960	Molise
ThesaurusConcept-1961	mollusc
ThesaurusConcept-1962	yearbook
ThesaurusConcept-1963	Moluccas
ThesaurusConcept-1964	molybdenum
ThesaurusConcept-1965	Monaco
ThesaurusConcept-1966	constitutional monarchy
ThesaurusConcept-1967	Universalism
ThesaurusConcept-1968	Mongolia
ThesaurusConcept-1969	money
ThesaurusConcept-1970	reserve currency
ThesaurusConcept-1971	electronic funds transfer
ThesaurusConcept-1972	paper money
ThesaurusConcept-1973	international currency
ThesaurusConcept-1974	national currency
ThesaurusConcept-1975	deposit money
ThesaurusConcept-1976	unicameral system
ThesaurusConcept-1977	monocracy
ThesaurusConcept-1978	monograph
ThesaurusConcept-1979	monopoly
ThesaurusConcept-1980	monopsony
ThesaurusConcept-1981	State monopoly
ThesaurusConcept-1982	import monopoly
ThesaurusConcept-1983	Antarctica
ThesaurusConcept-1984	monopoly of information
ThesaurusConcept-1985	fiscal monopoly
ThesaurusConcept-1986	Montserrat
ThesaurusConcept-1987	mountain
ThesaurusConcept-1988	monetary compensatory amount
ThesaurusConcept-1989	ethics
ThesaurusConcept-1990	public morality
ThesaurusConcept-1991	mortality
ThesaurusConcept-1992	infant mortality
ThesaurusConcept-1993	occupational mortality
ThesaurusConcept-1994	engine
ThesaurusConcept-1995	motion of censure
ThesaurusConcept-1996	consumer motivation
ThesaurusConcept-1997	antibiotic
ThesaurusConcept-1998	political motivation
ThesaurusConcept-1999	autonomous movement
ThesaurusConcept-2000	anti-racist movement
ThesaurusConcept-2001	trends of opinion
ThesaurusConcept-2002	capital movement
ThesaurusConcept-2003	women's movement
ThesaurusConcept-2004	youth movement
ThesaurusConcept-2005	national liberation movement
ThesaurusConcept-2006	complementarity agreement
ThesaurusConcept-2007	ecology movement
ThesaurusConcept-2008	European Movement
ThesaurusConcept-2009	workers' movement
ThesaurusConcept-2010	farmers' movement
ThesaurusConcept-2011	social movement
ThesaurusConcept-2012	means of communication
ThesaurusConcept-2013	mass media
ThesaurusConcept-2014	means of agricultural production
ThesaurusConcept-2015	means of transport
ThesaurusConcept-2016	medium-sized business
ThesaurusConcept-2017	medium-sized holding
ThesaurusConcept-2018	Mozambique
ThesaurusConcept-2019	multilingualism
ThesaurusConcept-2020	multiparty system
ThesaurusConcept-2021	Munster
ThesaurusConcept-2022	museum
ThesaurusConcept-2023	music
ThesaurusConcept-2024	British West Indies
ThesaurusConcept-2025	mushroom-growing
ThesaurusConcept-2026	North-West Atlantic Fisheries Organisation
ThesaurusConcept-2027	Namibia
ThesaurusConcept-2028	Province of Namur
ThesaurusConcept-2029	births
ThesaurusConcept-2030	National Socialism
ThesaurusConcept-2031	nationalisation
ThesaurusConcept-2032	French West Indies
ThesaurusConcept-2033	nationalism
ThesaurusConcept-2034	nationality
ThesaurusConcept-2035	nationality of legal persons
ThesaurusConcept-2036	naturalisation
ThesaurusConcept-2037	Nauru
ThesaurusConcept-2038	Navarre
ThesaurusConcept-2039	air traffic
ThesaurusConcept-2040	inland waterway shipping
ThesaurusConcept-2041	maritime shipping
ThesaurusConcept-2042	Netherlands Antilles
ThesaurusConcept-2043	cargo vessel
ThesaurusConcept-2044	barge carrier ship
ThesaurusConcept-2045	merchant
ThesaurusConcept-2046	collective bargaining
ThesaurusConcept-2047	Tokyo Round
ThesaurusConcept-2048	Dillon Round
ThesaurusConcept-2049	Kennedy Round
ThesaurusConcept-2050	tariff negotiations
ThesaurusConcept-2051	anti-semitism
ThesaurusConcept-2052	Nepal
ThesaurusConcept-2053	neutrality
ThesaurusConcept-2054	New Community Instrument
ThesaurusConcept-2055	Nicaragua
ThesaurusConcept-2056	nickel
ThesaurusConcept-2057	Niger
ThesaurusConcept-2058	Nigeria
ThesaurusConcept-2059	level of education
ThesaurusConcept-2060	degree of pollution
ThesaurusConcept-2061	Province of Antwerp
ThesaurusConcept-2062	standard of living
ThesaurusConcept-2063	noise level
ThesaurusConcept-2064	palm nut
ThesaurusConcept-2065	nomadism
ThesaurusConcept-2066	nomenclature
ThesaurusConcept-2067	budgetary classification
ThesaurusConcept-2068	agricultural product nomenclature
ThesaurusConcept-2069	tariff nomenclature
ThesaurusConcept-2070	Anzus
ThesaurusConcept-2071	non-alignment
ThesaurusConcept-2072	non-attached member
ThesaurusConcept-2073	non-violence
ThesaurusConcept-2074	North Jutland
ThesaurusConcept-2075	Nord-Pas-de-Calais
ThesaurusConcept-2076	standardisation
ThesaurusConcept-2077	standard
ThesaurusConcept-2078	food standard
ThesaurusConcept-2079	Anzus countries
ThesaurusConcept-2080	biological standard
ThesaurusConcept-2081	marketing standard
ThesaurusConcept-2082	labour standard
ThesaurusConcept-2083	social norm
ThesaurusConcept-2084	Norway
ThesaurusConcept-2085	notary
ThesaurusConcept-2086	apartheid
ThesaurusConcept-2087	new economic order
ThesaurusConcept-2088	New Caledonia
ThesaurusConcept-2089	New Zealand
ThesaurusConcept-2090	nuisance
ThesaurusConcept-2091	invalidity of an election
ThesaurusConcept-2092	marriage rate
ThesaurusConcept-2093	International Civil Aviation Organisation
ThesaurusConcept-2094	Asian Productivity Organisation
ThesaurusConcept-2095	cooperation agreement
ThesaurusConcept-2096	stateless person
ThesaurusConcept-2097	conscientious objection
ThesaurusConcept-2098	bond
ThesaurusConcept-2099	maintenance obligation
ThesaurusConcept-2100	non-competition clause
ThesaurusConcept-2101	obstacle to development
ThesaurusConcept-2102	African and Mauritian Common Organisation
ThesaurusConcept-2103	CCAM countries
ThesaurusConcept-2104	aperitif
ThesaurusConcept-2105	OECD
ThesaurusConcept-2106	OECD countries
ThesaurusConcept-2107	ocean
ThesaurusConcept-2108	Antarctic Ocean
ThesaurusConcept-2109	Arctic Ocean
ThesaurusConcept-2110	Atlantic Ocean
ThesaurusConcept-2111	Indian Ocean
ThesaurusConcept-2112	Pacific Ocean
ThesaurusConcept-2113	Oceania
ThesaurusConcept-2114	oceanography
ThesaurusConcept-2115	apiculture
ThesaurusConcept-2116	Central American Integration System
ThesaurusConcept-2117	CAIS countries
ThesaurusConcept-2118	Organisation of American States
ThesaurusConcept-2119	OAS countries
ThesaurusConcept-2121	egg
ThesaurusConcept-2122	work of art
ThesaurusConcept-2123	European Patent Office
ThesaurusConcept-2124	public legal official
ThesaurusConcept-2125	recording equipment
ThesaurusConcept-2126	job vacancy
ThesaurusConcept-2127	available energy
ThesaurusConcept-2128	supply and demand
ThesaurusConcept-2129	takeover bid
ThesaurusConcept-2130	International Labour Organisation
ThesaurusConcept-2131	olive-growing
ThesaurusConcept-2132	oil pipeline
ThesaurusConcept-2133	trace element
ThesaurusConcept-2134	oligopoly
ThesaurusConcept-2135	oligopsony
ThesaurusConcept-2136	olive
ThesaurusConcept-2137	Palestine Liberation Organisation
ThesaurusConcept-2138	Oman
ThesaurusConcept-2139	Umbria
ThesaurusConcept-2140	European Ombudsman
ThesaurusConcept-2141	International Maritime Organisation
ThesaurusConcept-2142	World Meteorological Organisation
ThesaurusConcept-2143	World Intellectual Property Organisation
ThesaurusConcept-2144	World Health Organisation
ThesaurusConcept-2145	UN Industrial Development Organisation
ThesaurusConcept-2146	Organisation of Arab Petroleum Exporting Countries
ThesaurusConcept-2147	OPEC
ThesaurusConcept-2148	OPEC countries
ThesaurusConcept-2149	banking
ThesaurusConcept-2150	stock-exchange transaction
ThesaurusConcept-2151	exchange transaction
ThesaurusConcept-2152	public opinion
ThesaurusConcept-2153	Publications Office of the European Union
ThesaurusConcept-2154	opposition
ThesaurusConcept-2155	political opposition
ThesaurusConcept-2156	gold
ThesaurusConcept-2157	computer
ThesaurusConcept-2158	ordinance
ThesaurusConcept-2159	measuring equipment
ThesaurusConcept-2160	agenda
ThesaurusConcept-2161	professional society
ThesaurusConcept-2162	public order
ThesaurusConcept-2163	EU body
ThesaurusConcept-2164	EC institutional body
ThesaurusConcept-2165	organisation chart
ThesaurusConcept-2166	administrative structures
ThesaurusConcept-2167	African organisation
ThesaurusConcept-2169	precision instrument
ThesaurusConcept-2170	American organisation
ThesaurusConcept-2171	Arab organisation
ThesaurusConcept-2172	Asian organisation
ThesaurusConcept-2173	common organisation of markets
ThesaurusConcept-2174	cultural organisation
ThesaurusConcept-2175	organisation of teaching
ThesaurusConcept-2176	radio equipment
ThesaurusConcept-2177	organisation of production
ThesaurusConcept-2178	organisation of professions
ThesaurusConcept-2179	UNO
ThesaurusConcept-2180	party organisation
ThesaurusConcept-2181	organisation of transport
ThesaurusConcept-2182	market organisation
ThesaurusConcept-2183	Warsaw Pact Organisation
ThesaurusConcept-2184	organisation of work
ThesaurusConcept-2185	television equipment
ThesaurusConcept-2186	organisation of elections
ThesaurusConcept-2187	European organisation
ThesaurusConcept-2188	world organisation
ThesaurusConcept-2189	international organisation
ThesaurusConcept-2190	Latin American organisation
ThesaurusConcept-2191	non-governmental organisation
ThesaurusConcept-2192	electronic device
ThesaurusConcept-2193	barley
ThesaurusConcept-2194	agricultural guidance
ThesaurusConcept-2195	vocational guidance
ThesaurusConcept-2196	educational guidance
ThesaurusConcept-2197	orphan
ThesaurusConcept-2198	Eurostat
ThesaurusConcept-2199	NATO
ThesaurusConcept-2200	NATO countries
ThesaurusConcept-2201	SEATO
ThesaurusConcept-2202	African Union
ThesaurusConcept-2203	Uganda
ThesaurusConcept-2204	agricultural implement
ThesaurusConcept-2205	hand tool
ThesaurusConcept-2206	engineering structure
ThesaurusConcept-2207	blue-collar worker
ThesaurusConcept-2208	skilled worker
ThesaurusConcept-2209	semi-skilled worker
ThesaurusConcept-2210	Overijssel
ThesaurusConcept-2211	sheep
ThesaurusConcept-2212	egg product
ThesaurusConcept-2213	oxide
ThesaurusConcept-2214	oxygen
ThesaurusConcept-2215	ozone
ThesaurusConcept-2216	payment
ThesaurusConcept-2217	advance payment
ThesaurusConcept-2218	invitation to tender
ThesaurusConcept-2219	international payment
ThesaurusConcept-2220	intra-EU payment
ThesaurusConcept-2221	bread
ThesaurusConcept-2222	Pakistan
ThesaurusConcept-2223	cross voting
ThesaurusConcept-2224	Panama
ThesaurusConcept-2225	basket of currencies
ThesaurusConcept-2226	bread-making
ThesaurusConcept-2227	direct applicability
ThesaurusConcept-2228	paper
ThesaurusConcept-2229	Papua New Guinea
ThesaurusConcept-2230	quasi-fiscal charge
ThesaurusConcept-2231	Paraguay
ThesaurusConcept-2232	parasitology
ThesaurusConcept-2233	vehicle fleet
ThesaurusConcept-2234	rolling stock
ThesaurusConcept-2235	national park
ThesaurusConcept-2236	application of the law
ThesaurusConcept-2237	plot
ThesaurusConcept-2238	single parent
ThesaurusConcept-2239	relationship
ThesaurusConcept-2240	exchange parity
ThesaurusConcept-2241	purchasing power parity
ThesaurusConcept-2242	parliament
ThesaurusConcept-2243	European Parliament
ThesaurusConcept-2244	national parliament
ThesaurusConcept-2245	regional parliament
ThesaurusConcept-2246	Member of Parliament
ThesaurusConcept-2247	application of EU law
ThesaurusConcept-2248	Member of the European Parliament
ThesaurusConcept-2249	division of property
ThesaurusConcept-2250	Communist Party
ThesaurusConcept-2251	Conservative Party
ThesaurusConcept-2252	Democratic Party
ThesaurusConcept-2253	Christian Democratic Party
ThesaurusConcept-2254	Ecology Party
ThesaurusConcept-2255	European party
ThesaurusConcept-2256	solar energy end-use applications
ThesaurusConcept-2257	Liberal Party
ThesaurusConcept-2258	political parties
ThesaurusConcept-2259	Republican Party
ThesaurusConcept-2260	Social Democratic Party
ThesaurusConcept-2261	Socialist Party
ThesaurusConcept-2262	Labour Party
ThesaurusConcept-2263	one-party system
ThesaurusConcept-2264	shareholding
ThesaurusConcept-2265	participation of women
ThesaurusConcept-2266	worker participation
ThesaurusConcept-2267	staff assessment
ThesaurusConcept-2268	turnout of voters
ThesaurusConcept-2269	political involvement
ThesaurusConcept-2270	social participation
ThesaurusConcept-2271	passport
ThesaurusConcept-2272	European passport
ThesaurusConcept-2273	pasteurisation
ThesaurusConcept-2274	pasta
ThesaurusConcept-2275	free-trade agreement
ThesaurusConcept-2276	apprentice
ThesaurusConcept-2277	pastry-making
ThesaurusConcept-2278	cultural heritage
ThesaurusConcept-2279	employers' organisation
ThesaurusConcept-2280	pauperisation
ThesaurusConcept-2281	poverty
ThesaurusConcept-2282	ship's flag
ThesaurusConcept-2283	flag of convenience
ThesaurusConcept-2284	apprenticeship
ThesaurusConcept-2285	associated country
ThesaurusConcept-2286	Netherlands
ThesaurusConcept-2287	Netherlands OCT
ThesaurusConcept-2288	regions of the Netherlands
ThesaurusConcept-2289	Basque Country
ThesaurusConcept-2290	Wales
ThesaurusConcept-2291	Eastern Bloc countries
ThesaurusConcept-2292	supply
ThesaurusConcept-2293	Loire Region
ThesaurusConcept-2294	donor country
ThesaurusConcept-2295	developing countries
ThesaurusConcept-2296	overseas countries and territories
ThesaurusConcept-2297	industrialised country
ThesaurusConcept-2298	member country
ThesaurusConcept-2299	least-developed country
ThesaurusConcept-2300	third country
ThesaurusConcept-2301	toll
ThesaurusConcept-2302	animal skin
ThesaurusConcept-2303	arms supply
ThesaurusConcept-2304	inshore fishing
ThesaurusConcept-2305	freshwater fishing
ThesaurusConcept-2306	deep-sea fishing
ThesaurusConcept-2307	industrial fishing
ThesaurusConcept-2308	sea fishing
ThesaurusConcept-2309	discarded fish
ThesaurusConcept-2310	traditional fishing
ThesaurusConcept-2311	fisherman
ThesaurusConcept-2312	energy supply
ThesaurusConcept-2313	new educational methods
ThesaurusConcept-2314	death penalty
ThesaurusConcept-2315	Peloponnese
